source,waveform_family,amplitude_plus,amplitude_star,period_plus,wavenumber_plus,reynolds,R,S,omega_plus,R_uncertainty,simulation_type
cimarelli_2013,sine,2.245901639,,125,0,180,0.07633587786,0.05111940299,0.0503,,
cimarelli_2013,sine,4.508196721,,125,0,180,0.1809160305,0.0802238806,0.0503,,
cimarelli_2013,sine,9,,125,0,180,0.3114503817,-0.09328358209,0.0503,,
cimarelli_2013,square,2.245901639,,125,0,180,0.1076335878,0.03768656716,0.0503,,
cimarelli_2013,square,4.508196721,,125,0,180,0.2358778626,-0.04141791045,0.0503,,
cimarelli_2013,square,9,,125,0,180,0.3664122137,,0.0503,,
cimarelli_2013,revsawtooth,2.262295082,,125,0,180,0.04885496183,0.02686567164,0.0503,,
cimarelli_2013,revsawtooth,4.508196721,,125,0,180,0.127480916,0.04141791045,0.0503,,
cimarelli_2013,revsawtooth,8.983606557,,125,0,180,0.2458015267,-0.09626865672,0.0503,,
cimarelli_2013,doublepeak,2.245901639,,125,0,180,0.02366412214,0.01492537313,0.0503,,
cimarelli_2013,doublepeak,4.491803279,,125,0,180,0.06717557252,0.03470149254,0.0503,,
cimarelli_2013,doublepeak,9,,125,0,180,0.1687022901,0.03917910448,0.0503,,
cimarelli_2013,asymmetric,2.262295082,,125,0,180,0.04961832061,0.03171641791,0.0503,,
cimarelli_2013,asymmetric,4.508196721,,125,0,180,0.1450381679,0.07276119403,0.0503,,
cimarelli_2013,asymmetric,9,,125,0,180,0.2832061069,-0.009328358209,0.0503,,
cimarelli_2013,sine,4.5,,62.87128713,0,180,0.1536180254,,0.0999,,
cimarelli_2013,sine,4.5,,125,0,180,0.1801425002,,0.0503,,
cimarelli_2013,sine,4.5,,250,0,180,0.1004672897,,0.0251,,
cimarelli_2013,square,4.5,,62.87128713,0,180,0.1966086796,,0.0999,,
cimarelli_2013,square,4.5,,125,0,180,0.2352780605,-0.04224904409,0.0503,,
cimarelli_2013,square,4.5,,250,0,180,0.1228971963,-0.07014327176,0.0251,,
cimarelli_2013,revsawtooth,4.5,,61.88118812,0,180,0.1050291478,-0.01603169484,0.0999,,
cimarelli_2013,revsawtooth,4.5,,125,0,180,0.1259368928,,0.0503,,
cimarelli_2013,revsawtooth,4.5,,250,0,180,0.07804200981,,0.0251,,
cimarelli_2013,doublepeak,4.5,,62.37623762,0,180,0.04708059591,,0.0999,,
cimarelli_2013,doublepeak,4.5,,125,0,180,0.0651892292,,0.0503,,
cimarelli_2013,doublepeak,4.5,,250,0,180,0.05373831776,,0.0251,,
cimarelli_2013,asymmetric,4.5,,62.87128713,0,180,0.1134311095,,0.0999,,
cimarelli_2013,asymmetric,4.5,,125,0,180,0.1427593227,,0.0503,,
cimarelli_2013,asymmetric,4.5,,250,0,180,0.09392523364,,0.0251,,
cimarelli_2013,sine,4.5,,61.60685493,0,180,,0.008506472566,0.102,,
cimarelli_2013,sine,4.5,,123.089326,0,180,,0.07951812779,0.051,,
cimarelli_2013,sine,4.5,,248.4267748,0,180,,0.03310452849,0.0253,,
cimarelli_2013,revsawtooth,4.5,,123.476298,0,180,,0.04062744737,0.0508,, 
cimarelli_2013,revsawtooth,4.5,,248.5557654,0,180,,0.02014096835,0.0253,,
cimarelli_2013,doublepeak,4.5,,61.68056387,0,180,,0.001098723914,0.1018,,
cimarelli_2013,doublepeak,4.5,,124.0429355,0,180,,0.0336803796,0.0506,,
cimarelli_2013,doublepeak,4.5,,248.9289169,0,180,,0.0326392408,0.0252,,
cimarelli_2013,asymmetric,4.5,,61.59764131,0,180,,0.009432441148,0.102,,
cimarelli_2013,asymmetric,4.5,,123.163035,0,180,,0.07211037914,0.051,,
cimarelli_2013,asymmetric,4.5,,248.7907127,0,180,,0.04652876952,0.02525,,
gatti_2016,sine,7,,74.978,0,173.4,0.248,,0.0838,0.003,CFR
gatti_2016,sine,7,,250.326,0,184.1,0.151,,0.0251,0.003,CFR
gatti_2016,sine,7,,264,0.01,155.2,0.397,,0.0238,0.004,CFR
gatti_2016,sine,7,,52.36,0.01,213,-0.135,,0.12,0.006,CFR
gatti_2016,sine,7,,74.978,0,905.7,0.178,,0.0838,0.002,CFR
gatti_2016,sine,7,,250.326,0,955.2,0.085,,0.0251,0.003,CFR
gatti_2016,sine,7,,264,0.01,849,0.277,,0.0238,0.005,CFR
gatti_2016,sine,7,,52.36,0.01,1039.2,-0.083,,0.12,0.003,CFR
gatti_2016,sine,7,,74.978,0,200,0.253,,0.0838,0.002,CPG
gatti_2016,sine,7,,250.326,0,200,0.133,,0.0251,0.004,CPG
gatti_2016,sine,7,,264,0.01,200,0.364,,0.0238,0.002,CPG
gatti_2016,sine,7,,52.36,0.01,200,-0.176,,0.12,0.003,CPG
gatti_2016,sine,7,,74.978,0,1000,0.178,,0.0838,0.005,CPG
gatti_2016,sine,7,,250.326,0,1000,0.077,,0.0251,0.001,CPG
gatti_2016,sine,7,,264,0.01,1000,0.264,,0.0238,0.006,CPG
gatti_2016,sine,7,,52.36,0.01,1000,-0.078,,0.12,0.006,CPG
gatti_2016,sine,12,,15.65656566,0,200,0.11640625,,0.4013131261,,CFR
gatti_2016,sine,12,,20.70707071,0,200,0.1546875,,0.3034318758,,CFR
gatti_2016,sine,12,,25.25252525,0,200,0.19140625,,0.2488141382,,CFR
gatti_2016,sine,12,,31.31313131,0,200,0.22578125,,0.200656563,,CFR
gatti_2016,sine,12,,35.85858586,0,200,0.24140625,,0.1752212241,,CFR
gatti_2016,sine,12,,41.91919192,0,200,0.27421875,,0.149888035,,CFR
gatti_2016,sine,12,,50,0,200,0.29921875,,0.1256637061,,CFR
gatti_2016,sine,12,,57.07070707,0,200,0.3234375,,0.1100947514,,CFR
gatti_2016,sine,12,,69.6969697,0,200,0.35,,0.09015005006,,CFR
gatti_2016,sine,12,,79.7979798,0,200,0.36640625,,0.07873865132,,CFR
gatti_2016,sine,12,,89.8989899,0,200,0.3640625,,0.06989161184,,CFR
gatti_2016,sine,12,,100,0,200,0.3734375,,0.06283185307,,CFR
gatti_2016,sine,12,,109.5959596,0,200,0.37421875,,0.05733044658,,CFR
gatti_2016,sine,12,,119.6969697,0,200,0.37734375,,0.05249243421,,CFR
gatti_2016,sine,12,,150,0,200,0.3578125,,0.04188790205,,CFR
gatti_2016,sine,12,,15.15151515,0,1000,0.08671875,,0.4146902303,,CFR
gatti_2016,sine,12,,20.2020202,0,1000,0.128125,,0.3110176727,,CFR
gatti_2016,sine,12,,24.24242424,0,1000,0.146875,,0.2591813939,,CFR
gatti_2016,sine,12,,30.3030303,0,1000,0.1875,,0.2073451151,,CFR
gatti_2016,sine,12,,34.84848485,0,1000,0.1890625,,0.1803001001,,CFR
gatti_2016,sine,12,,40.90909091,0,1000,0.21328125,,0.1535889742,,CFR
gatti_2016,sine,12,,48.98989899,0,1000,0.23203125,,0.1282547104,,CFR
gatti_2016,sine,12,,55.55555556,0,1000,0.2453125,,0.1130973355,,CFR
gatti_2016,sine,12,,77.77777778,0,1000,0.2765625,,0.08078381109,,CFR
gatti_2016,sine,12,,87.37373737,0,1000,0.27734375,,0.07191160063,,CFR
gatti_2016,sine,12,,97.47474747,0,1000,0.25859375,,0.06445962129,,CFR
gatti_2016,sine,12,,107.0707071,0,1000,0.2671875,,0.05868257976,,CFR
gatti_2016,sine,12,,116.6666667,0,1000,0.25546875,,0.05385587406,,CFR
gatti_2016,sine,12,,145.959596,0,1000,0.2203125,,0.04304742875,,CFR
gatti_2016,sine,1.99031477,,,,200,0.1435582822,0.1322033898,,,
gatti_2016,sine,4.484261501,,,,200,0.3251533742,0.2772881356,,,
gatti_2016,sine,5.501210654,,,,200,0.3828220859,0.3125423729,,,
gatti_2016,sine,6.978208232,,,,200,0.4233128834,0.3125423729,,,
gatti_2016,sine,11.96610169,,,,200,0.4993865031,0.2013559322,,,
gatti_2016,sine,19.95641646,,,,200,0.5496932515,-0.2176271186,,,
gatti_2016,sine,2.014527845,,,,1000,0.09079754601,0.08881355932,,,
gatti_2016,sine,4.556900726,,,,1000,0.2208588957,0.1823728814,,,
gatti_2016,sine,5.573849879,,,,1000,0.2601226994,0.1959322034,,,
gatti_2016,sine,7.099273608,,,,1000,0.2993865031,0.1959322034,,,
gatti_2016,sine,12.1598063,,,,1000,0.3877300613,0.1023728814,,,
gatti_2016,sine,20.27118644,,,,1000,0.4588957055,-0.2325423729,,,
gatti_2016,sine,,2.256658596,,,200,0.1496932515,0.1403389831,,,
gatti_2016,sine,,4.508474576,,,200,0.282208589,0.2474576271,,,
gatti_2016,sine,,5.501210654,,,200,0.3374233129,0.2894915254,,,
gatti_2016,sine,,7.002421308,,,200,0.3889570552,,,,
gatti_2016,sine,,11.99031477,,,200,0.4527607362,0.2623728814,,,
gatti_2016,sine,,20.00484262,,,200,0.5079754601,0.05627118644,,,
gatti_2016,sine,,2.256658596,,,1000,0.09325153374,0.08474576271,,,
gatti_2016,sine,,4.508474576,,,1000,0.1914110429,0.1552542373,,,
gatti_2016,sine,,5.501210654,,,1000,0.2294478528,0.1783050847,,,
gatti_2016,sine,,7.002421308,,,1000,0.2662576687,0.1810169492,,,
gatti_2016,sine,,12.01452785,,,1000,0.3411042945,0.1403389831,,,
gatti_2016,sine,,20.00484262,,,1000,0.4085889571,-0.06305084746,,,
