proposal_id,predicted_R,uncertainty,beats_baseline,skewness,kurtosis,zero_crossing_rate,max_acceleration,fixed_amplitude,fixed_period,fixed_reynolds,w_00,w_01,w_02,w_03,w_04,w_05,w_06,w_07,w_08,w_09,w_10,w_11,w_12,w_13,w_14,w_15,w_16,w_17,w_18,w_19,w_20,w_21,w_22,w_23,w_24,w_25,w_26,w_27,w_28,w_29,w_30,w_31,w_32,w_33,w_34,w_35,w_36,w_37,w_38,w_39,w_40,w_41,w_42,w_43,w_44,w_45,w_46,w_47,w_48,w_49,w_50,w_51,w_52,w_53,w_54,w_55,w_56,w_57,w_58,w_59,w_60,w_61,w_62,w_63
1,0.23220940958323072,0.01709165218778236,True,-0.0010352413,-1.9767709,0.015625,86.20294,4.5,125.0,180,0.7045878,0.8309511,0.88622904,0.9264124,0.9217914,0.9098652,0.8953264,0.89848155,0.8418071,0.8404895,0.8675255,0.894599,0.9213461,0.93750423,0.95110005,0.96184963,0.9568319,0.9499136,0.9170691,0.87652546,0.8645164,0.86665654,0.88996214,0.9180139,0.9384922,0.9438289,0.9289877,0.9079842,0.9095765,0.90370363,0.8139979,0.5920514,-0.75486964,-0.8805366,-0.9188169,-0.92290556,-0.9285223,-0.9090217,-0.882367,-0.8377669,-0.8310526,-0.83197075,-0.897445,-0.9100018,-0.9353342,-0.95513815,-0.96778584,-0.96953225,-0.9657372,-0.9647675,-0.9491876,-0.92689383,-0.8885528,-0.8717621,-0.8291749,-0.8783352,-0.8962473,-0.91847694,-0.9523612,-0.94116515,-0.91464674,-0.8732659,-0.7528449,-0.59022224
2,0.23168789996770847,0.016916694638710233,True,-0.040388867,-1.9224448,0.015625,55.087666,4.5,125.0,180,0.42785108,0.6460089,0.76634204,0.84040564,0.8535539,0.8547099,0.8414765,0.806541,0.7425147,0.7386896,0.7376192,0.7455746,0.7830651,0.8212677,0.8698918,0.89665014,0.9035776,0.91586626,0.89090806,0.87110764,0.8761564,0.8722781,0.88419765,0.89204204,0.9212424,0.92556494,0.93186885,0.9343046,0.93789333,0.94113797,0.89251477,0.7971379,-0.063606836,-0.37345582,-0.5680737,-0.68766725,-0.7450777,-0.7704879,-0.7787009,-0.8098442,-0.8390832,-0.86469907,-0.9126767,-0.92657197,-0.9357951,-0.95089006,-0.95775616,-0.9664168,-0.96457744,-0.95745176,-0.93267614,-0.90764487,-0.8768728,-0.83965254,-0.8042652,-0.8440036,-0.857916,-0.8753225,-0.9183729,-0.9137824,-0.8863889,-0.84181386,-0.72280794,-0.5585827
3,0.22827911904338216,0.017300602650486354,True,-0.09644683,-1.832148,0.015625,24.830309,4.5,125.0,180,0.362905,0.5655378,0.71057177,0.79197776,0.81142014,0.80344784,0.7470785,0.66084415,0.47826928,0.41003916,0.38078362,0.4140412,0.4788969,0.5656767,0.6604042,0.7477404,0.78491175,0.80544627,0.7815851,0.7419256,0.7198279,0.6836584,0.687156,0.71269846,0.7559058,0.77705896,0.8112019,0.867971,0.8903035,0.9075153,0.88594353,0.82630694,0.43833336,0.11915553,-0.18738902,-0.44234994,-0.5862165,-0.6927676,-0.7397254,-0.7883459,-0.82905203,-0.83793837,-0.85757565,-0.8570784,-0.8617171,-0.8664618,-0.8596207,-0.87078434,-0.8623598,-0.83121395,-0.77779514,-0.7588637,-0.7087126,-0.68147993,-0.6713219,-0.70592743,-0.7484777,-0.7943113,-0.8286523,-0.8447798,-0.797248,-0.7147709,-0.5604073,-0.28135264
4,0.21807873187415197,0.017094266873297143,True,0.115856245,-1.8426918,0.015625,33.29128,4.5,125.0,180,0.2132418,0.39266425,0.5557219,0.7237306,0.7919239,0.83616287,0.8622696,0.89851075,0.9009848,0.9024976,0.9203332,0.9201418,0.9283622,0.9255473,0.9398479,0.94876975,0.95371467,0.95344424,0.94651544,0.9329947,0.913455,0.88338953,0.85529274,0.82588184,0.78359324,0.72559196,0.56919754,0.48272803,0.39740792,0.33377913,0.22275063,0.006916178,-0.51326007,-0.66940546,-0.7553817,-0.81030273,-0.85446566,-0.8739429,-0.8744257,-0.8303296,-0.8419741,-0.832682,-0.85117376,-0.8438995,-0.82648534,-0.8147521,-0.80855376,-0.78749067,-0.7747781,-0.80422735,-0.8067065,-0.8109709,-0.8046999,-0.83661413,-0.8326127,-0.8543914,-0.8661795,-0.8783452,-0.88114727,-0.8546529,-0.8001664,-0.714519,-0.600623,-0.45328885
5,0.20038573850181252,0.05101356462307977,True,-0.08676084,-1.8408483,0.03125,43.909595,4.5,125.0,180,0.6052084,0.72315234,0.8046923,0.8357019,0.8288046,0.78444314,0.71477896,0.66367835,0.57140416,0.55740726,0.58763576,0.64347327,0.7040103,0.742023,0.7818795,0.7992381,0.78373367,0.7442117,0.662712,0.56701076,0.52901596,0.51245266,0.5344758,0.5963659,0.6776596,0.71936464,0.74965584,0.7736517,0.7721438,0.74844223,0.61797863,0.36552477,-0.32056266,-0.63531774,-0.7710195,-0.83442044,-0.8634028,-0.86556953,-0.81966007,-0.78418446,-0.69051546,-0.576589,-0.5201076,-0.46604684,-0.4727683,-0.54901505,-0.61572504,-0.6819744,-0.7400052,-0.8041025,-0.8282375,-0.8440925,-0.85430825,-0.88127357,-0.8899596,-0.8683142,-0.83897966,-0.8027761,-0.7708274,-0.68097156,-0.603055,-0.40388086,-0.21539712,0.08654139
6,0.19789360624103408,0.01685345510590832,True,-0.16212752,-1.5718892,0.015625,11.726221,4.5,125.0,180,0.0869684,0.23598929,0.33882943,0.44221315,0.50882035,0.56382483,0.575097,0.5935137,0.58304584,0.5922993,0.59466237,0.6171121,0.6597888,0.6710277,0.7173587,0.7521923,0.775959,0.7810185,0.7870321,0.7642426,0.7447803,0.71368533,0.6850688,0.6606812,0.66498244,0.65538734,0.64041865,0.61678547,0.56877255,0.4841624,0.35907066,0.17584845,-0.0031397082,-0.1824462,-0.29830953,-0.41012934,-0.46141246,-0.49669337,-0.50590026,-0.5362136,-0.5452773,-0.5574922,-0.6001599,-0.6728476,-0.7567691,-0.8551662,-0.9159881,-0.95414615,-0.965783,-0.96996605,-0.9621305,-0.92958945,-0.852302,-0.7572727,-0.64156,-0.5661077,-0.5039401,-0.47830847,-0.44745362,-0.40451315,-0.36184192,-0.282595,-0.16834348,-0.0656053
7,0.1923999899207731,0.0509028303201776,True,-0.12761913,-1.7431853,0.03125,14.3023615,4.5,125.0,180,0.28080192,0.40287572,0.4992192,0.56698513,0.62826335,0.6845856,0.7364583,0.78987795,0.81644696,0.83877087,0.8690775,0.8780822,0.887269,0.8813918,0.8731022,0.86130303,0.8589434,0.8403862,0.82949615,0.8267933,0.81111753,0.79288507,0.7653909,0.740112,0.73623365,0.7037806,0.64503014,0.59795517,0.5196815,0.47891998,0.37774235,0.2867429,0.14902869,0.008993955,-0.16438566,-0.3333162,-0.5078214,-0.6483529,-0.7578878,-0.80952036,-0.8658131,-0.89026856,-0.90742487,-0.9088709,-0.88291764,-0.85718906,-0.8124594,-0.78227764,-0.76209366,-0.7808596,-0.80455756,-0.8375548,-0.8710355,-0.90045685,-0.9197505,-0.92073727,-0.905915,-0.86057365,-0.80804425,-0.70967937,-0.53671193,-0.38052574,-0.15705134,0.009462231
8,0.19073678059822347,0.015098585648220572,True,0.071974486,-1.6081805,0.015625,14.533883,4.5,125.0,180,0.0017847624,0.16484733,0.30205426,0.43580407,0.53159654,0.58848447,0.6534691,0.69528836,0.7434026,0.7977632,0.8513803,0.89057785,0.9236993,0.937804,0.9515257,0.9570421,0.9585721,0.9502863,0.93172294,0.895061,0.8288775,0.7454339,0.6518521,0.59626454,0.54306984,0.51944005,0.46732444,0.44138786,0.4058597,0.34287816,0.22753102,0.10655083,-0.120541096,-0.24657403,-0.36903268,-0.45845008,-0.52951276,-0.5658899,-0.61360526,-0.61948204,-0.66349065,-0.7066911,-0.74301887,-0.7825276,-0.8170155,-0.8684797,-0.8897413,-0.91431123,-0.9252135,-0.9326757,-0.92294985,-0.8950471,-0.856978,-0.8012907,-0.73672247,-0.6738936,-0.6372142,-0.5953994,-0.56705016,-0.53499895,-0.49813884,-0.4243061,-0.33434138,-0.22749127
9,0.18383802061895557,0.0506556817596305,True,0.100763746,-1.7538099,0.03125,20.402504,4.5,125.0,180,-0.4001745,-0.103651,0.20053433,0.5106455,0.7077785,0.7874617,0.81994617,0.8410317,0.829878,0.80039245,0.75884634,0.7132175,0.65361035,0.6030887,0.6337388,0.70185447,0.7502676,0.7930229,0.8391664,0.865112,0.888199,0.88980895,0.8902864,0.868425,0.8558978,0.8043104,0.75836426,0.68075544,0.58511096,0.4683143,0.2512688,0.051955897,-0.26683322,-0.47432262,-0.5655813,-0.6116381,-0.6507145,-0.6459207,-0.641363,-0.62609357,-0.62649006,-0.6737006,-0.7198595,-0.7549485,-0.8246568,-0.8825275,-0.9108586,-0.91540176,-0.9053821,-0.8618595,-0.7928403,-0.68073124,-0.5336342,-0.42334023,-0.2921217,-0.26516584,-0.3433159,-0.4611069,-0.5882945,-0.70328116,-0.7697773,-0.78406024,-0.77363825,-0.6855444
10,0.18100906384026022,0.051717841942001616,True,-0.3222443,-1.601035,0.03125,10.976446,4.5,125.0,180,0.33672225,0.4370207,0.49239805,0.56213605,0.6022964,0.6405865,0.6598096,0.6743127,0.70432633,0.7200865,0.7193737,0.7310741,0.74112743,0.7345629,0.73964983,0.7512625,0.75737375,0.748335,0.7552412,0.7498921,0.7263407,0.6943429,0.6577581,0.60212463,0.5956467,0.59702104,0.54971176,0.5375016,0.53191376,0.49462304,0.42069817,0.3410403,0.2113708,0.082862236,-0.08864473,-0.24901526,-0.39590505,-0.5418745,-0.6684453,-0.75436854,-0.84091,-0.89538336,-0.9267036,-0.94627774,-0.9537129,-0.95282996,-0.9511509,-0.9389067,-0.92227745,-0.91403395,-0.8879357,-0.8632509,-0.830018,-0.7941273,-0.75215983,-0.7152587,-0.64087826,-0.56550556,-0.44402006,-0.3423017,-0.21316081,-0.062053706,0.080695614,0.2078159
